Recipe Title,Serving Size,Total Preparation Time (min),Ingredients,Steps,Total Calories (cal) Per Serving,Protein (g) Per Serving,Carbohydrates (g) Per Serving,Fat (g) Per Serving,Fiber (g) Per Serving,Sodium (mg) Per Serving,Sugar (g) Per Serving,Total Calories (cal),Total Protein (g),Total Carbohydrates (g),Total Fat (g),Total Fiber (g),Total Sodium (mg),Total Sugar (g),,,,,
Beef & Vegetable Skillet,2,20-25,8 oz lean beef; 1/2 cup dry brown rice; 1 cup raw and chopped broccoli; 1/2 cup chopped or matchstick carrots; 1/2 cup raw and chopped onions; 1/2 cup raw and chopped bell pepper; 1 Tbsp olive oil; 1 cup low-sodium chicken broth; 1/2 tsp garlic powder; 1/2 tsp onion powder; 1/2 tsp smoked paprika; 1 tsp dried Italian herbs; 1/4 tsp black pepper; 1/8 tsp salt (optional); 1 Tbsp lemon juice,"Add ½ cup dry brown rice and 1 cup water to a small pot.
Bring to a boil.
Cover and lower heat.
Simmer 30–35 minutes, until soft.
Turn off heat and let sit. Slice the beef into thin strips.
Put a large skillet on the stove.
Turn heat to medium.
Add 1 Tbsp olive oil.
Add the lean beef.
Cook 5–6 minutes, breaking into small pieces.
Drain any extra fat (if needed). Add onions, carrots, bell peppers
and broccoli
Stir and cook 5–7 minutes, until veggies soften. Sprinkle in: 
garlic powder, onion powder, smoked paprika, Italian herbs, black pepper, and salt (optional).
Stir well so everything is coated. Pour in 1 cup low?sodium chicken broth.
Let the skillet simmer 3–4 minutes to blend flavors. Add the cooked brown rice to the skillet.
Stir until everything is mixed and heated through. Turn off heat.
Stir in 1 Tbsp fresh lemon juice to brighten flavor without salt. Spoon into bowls and enjoy warm.",363,25,44,8,5,260,4,726,49,87,16,10,520,8,,,,,
Caribbean Grilled Shrimp & Plantain Skillet,2,25-30,"3/4 cup shrimp, peeled and deveined; 1/2 cup plantain, sliced into 1/2-inch rounds; 1 Tbsp olive oil; 1/4 cup cherry tomatoes, halved; 1 Tbsp fresh cilantro (chopped); 1 Tbsp lime juice (1-2 limes); 1/2 tsp all-spice; 1/2 tsp cumin; 1/2 tsp oregano; 1/2 tsp smoked paprika; 1/4 tsp garlic powder; 1/4 tsp onion powder; 1/2 tsp pepper","Put a skillet on the stove.
Turn heat to medium.
Add 1 tablespoon olive oil.
Add the plantain slices.
Cook 3–4 minutes per side, until golden brown.
Remove and set aside on a plate. In the same pan, add the shrimp.
Sprinkle on:
Allspice
Cumin
Oregano
Smoked paprika
Garlic powder
Onion powder
Black pepper
Red?pepper flakes (optional)
Cook 2–3 minutes, stirring until shrimp turn pink and firm. Add the cherry tomatoes to the skillet.
Cook 1 minute until they start to soften. Gently add the cooked plantains back to the pan.
Toss lightly to coat with seasonings. Turn off the heat.
Squeeze in 1 tablespoon lime juice.
Sprinkle fresh cilantro on top. Enjoy warm as is, or serve over:
Brown rice
Quinoa
Mixed greens",230,20,18,9,1,809,8,460,40,35,17,1,1618,15,,,,,
Egg Roll in a Bowl,2,30-45,1/2 lb ground chicken (93% or higher); 1/2 cup diced onion; 1/2 Tbsp minced garlic; 1/2 tsp ground ginger; 7 oz coleslaw mix (shredded cabbage and carrots); 1 Tbsp low-sodium soy sauce; 1/4 tsp sesame oil; 1/4 tsp rice vinegar; 1 Tbsp olive oil.; Heart-healthy Hoisin sauce: 1 Tbsp no-salt-added tomato paste; 1/2 tsp rice vinegar;  1/2 tsp low-sodium soy sauce; 1/8 tsp ground ginger; 1/4 tsp smoked paprika; 1/2-1 tsp honey ,"Heat a pan on medium.
Add the ground chicken.
Cook 4–5 minutes, breaking it up until no pink remains. Add onion, garlic, and ground ginger.
Cook 2 minutes. Pour in 7 oz coleslaw mix.
Stir and cook 5 minutes, until cabbage softens. Stir in: soy sauce, sesame oil, rice vinegar and Heart-healthy Hoisin substitute. Cook 2–3 more minutes.",315,23,14,19,3,412,8,629,46,27,38,6,823,16,,,,,
Greek Beef Souvlaki with Tzatziki,2,25-30,6 oz lean beef; 1 cup chopped spinach; 1 cup finely chopped or grated cucumber; 1 cup plain yogurt; 1 Tbsp olive oil; 1 Tbsp fresh lemon juice; 1 tsp dried oregano; 1 tsp dried dill; 1 tsp garlic powder; 1/8 tsp salt; 1/4 tsp pepper,"Combine oregano, dill, garlic powder, salt, pepper, and olive oil. Mix well.
Cut the beef into 1?inch cubes and toss them with the spice mixture. Let sit 5?min.
Skewer 3–4 cubes on each stick and grill or pan?fry on medium heat until browned on all sides, about 4?5?min per side.
Meanwhile, make the tzatziki. In another bowl, add the plain yogurt. Stir in cucumber, dill, garlic powder, lemon juice, and pepper. Mix well. Chill in the fridge for 10?min.
When the beef is done, serve each stack with a scoop of tzatziki and a handful of fresh spinach.",319,24,6,18,1,397,6,637,47,12,36,2,793,11,,,,,
Hearty Turkey & Cabbage Stew,3 to 4,30,"1 lb ground turkey (93% lean or higher); 2 cups chopped cabbage (fresh or bagged); 1 cup canned no-salt-added diced tomatoes; 1/2 cup diced onion (fresh or frozen); 1 clove minced garlic; 1 cup frozen mixed vegetables (corn, peas, carrots); 1/2 cup canned white beans, rinsed; 1.5 cups low-sodium chicken or vegetable broth; 1 tsp garlic powder; 1 tsp onion powder; 1/2 tsp paprika; 1/2 tsp dried thyme; 1/2 tsp dried parsley; 1/4 tsp black pepper; pinch red-pepper flakes (optional); 1 Tbsp olive oil; 1-2 tsp apple cider vinegar or lemon juice","Put a large pot on the stove. Turn heat to medium. Add 1 Tbsp olive oil. Add the ground turkey. Break it apart with a spoon. Cook 5-7 minutes until it turns light brown. Drain extra fat if needed. Add onions and garlic. Cook 2 minutes while stirring. Add the chopped cabbage and mixed vegetables. Cook 3 minutes to soften lightly. Sprinkle in garlic powder, onion powder, paprika, thyme, parsley, black pepper, and red-pepper flakes (optional). Stir everything so the spices cover the food. Pour in: diced tomatoes, white beans, and low-sodium broth. Stir well. Turn heat to low. Put the lid on. Cook 12-15 mintues until the cabbage is soft and the stew thickens. If it gets too thick, add a splash of water. Turn off the heat. Stir in 1-2 teaspoons vinegar or lemon juice. Scoop into bowls and enjoy warm.",359,37,69,41,5,263,8,1078,111,69,41,17,788,23,,,,,
Italian Turkey Bolognese over Whole-Wheat Pasta,2,15-20,"6 oz fresh ground turkey; 1 cup no added salt tomato sauce; 1 cup chopped carrot; 1 cup chopped onion; 1 cup chopped bell pepper; 1 Tbsp olive oil; 1 cup whole-wheat pasta; 1/8 tsp salt; dried oregano, dried basil, garlic powder, and pepper to taste","Heat olive oil in a large pot on medium.
Add turkey, break apart, and brown for 3?min.
Add onion, carrot, bell pepper, garlic powder, oregano, basil, salt, and pepper; cook 2?min.
Pour in tomato sauce, stir, and bring to a gentle simmer. Cook 10?min, stirring occasionally.
Meanwhile, cook pasta in salted water until al dente; drain.
Mix the pasta into the sauce, stir, and let steam together 1?min.
Taste and add more pepper if needed.
Divide between two bowls and serve hot.",364,23,38,15,10,125,11,727,46,76,29,20,250,21,,,,,
Latin-American Chicken & Black-Bean Tacos,2,25-30,"3 oz chicken breast, cooked and diced; 1/2 cup canned black beans, drained; 2 corn tortillas (large); 1/2 cup onion, diced; 1/2 cup bell pepper, diced; 1 tsp olive oil; 1 lime (~1 Tbsp of juice); 1 Tbsp fresh cilantro, chopped; 1/8 tsp salt, 1/4 tsp pepper; 1 tsp cumin; and 1/4 orgeano to taste","Heat the tsp of olive oil in a skillet over medium.
Add onion and bell pepper; sauté 3?min until tender.
Stir in the diced chicken. Cook 5?min, breaking the meat into pieces, until no pink remains.
Add the black beans and half the cumin, oregano, salt, and pepper. Cook 2?min, letting flavors mingle.
Warm the corn tortillas in a dry pan or microwave (15?s).
Spoon equal amounts of the chicken?bean mix onto each tortilla.
Drizzle with lime juice and sprinkle cilantro.
Add a pinch of salt or more lime if desired.
Fold the tortillas into taco shape.
Repeat for the second taco.
Serve immediately with extra lime wedges.
Enjoy the bright, protein?rich tacos.",465,38,62,5,14,475,3,930,76,124,10,14,949,6,,,,,
Lean Beef Burgers,2,15-20,1/2 pound lean ground beef (90% lean or higher); 1/2 tsp garlic powder; 1/2 tsp onion powder; 1/2 tsp paprika; 1/4 tsp black pepper; 1/4 tsp dried oregano; 1 tsp lemon juice; 2-4 slices tomato; lettuce leaves; 2-4 slices onion; 2 whole-wheat hamburger buns,"Put the lean ground beef in a medium bowl. Add the garlic powder, onion powder, paprika, oregano, black pepper, and lemon juice. Mix gently with your hands. Do not mash too much or the burgers get tough. Divide the meat into 2 equal balls. Press each ball down into a flat circle about 1/2 inch thick. Press a tiny dent in the center with your thumb - this helps the hamburger cook evenly. For stovetop method: Place a pan on the stove and turn heat to medium. Add 1/2 teaspoon olive oil if the pain is not nostick. Put the burgers in the pain. Cook 4-5 minutes per side, until the center is no longer pink. For oven method: Heat oven to 400 degrees F. Place burgers on a baking sheet. Bake 12-15 minutes, flipping halfway. For food safety, the burgers should reach 160 degrees F inside. If you don't have a thermometer, look for no pink inside. Lightly toast the whole-wheat buns. Wash and slice lettuce, tomato, and onion. Layer your burger by bottom bun, burger patty, lettuce, tomato slices, onion slices, optional toppings (like ketchup or mustard), and top bun.",482,39,2,18,3,377,7,963,78,4,35,6,754,13,,,,,
Lentil & Veggie Stuffed Bell Peppers,2,45-50,2 caps of halved and seeded bell pepper; 1/2 cup cooked lentils; 1/2 cup no-salt-added diced tomatoes; 1/4 cup diced onions; 1/2 clove minced garlic; 1 tsp olive oil; 1/2 tsp balsamic vinegar; 1/2 tsp dried cumin; 1/2 tsp smoked paprika; 1/2 tsp garlic powder; 1/2 tsp onion powder; 1 tsp dried Italian herbs; 1/4 tsp black pepper; 1 Tbsp lemon juice (optional),"STOVE TOP AND OVEN VERSION:                                                                                          Pre?heat oven to 375?°F (190?°C).
Sauté onion and garlic in oil for 2?min.
Add tomato, lentils, cumin, smoked paprika; cook 3?min.
Season with balsamic vinegar, garlic powder, onion powder, Italian herbs and pepper.
Spoon the mixture into the pepper halves.
Place stuffed peppers on a baking sheet.
Cover with foil and bake 25?min.
Remove foil, bake 5?min more.
Let cool 2?min, then serve.                                                          PRESSURE COOKER OR INSTAPOT VERSION:                                                                                                    1. Prepare the Peppers:
Cut off the tops and remove seeds.
Set peppers aside.
Save the tops if you want to chop them into the filling.
2. Make the Filling (in Sauté mode):
Turn the Instant Pot to Sauté.
Add oil.
Add chopped onion, garlic, and any chopped pepper tops.
Cook for 3–4 minutes until softened.
Add dried lentils, diced tomatoes, cumin, paprika, oregano, pepper.
Add 1 cup broth or water to help cook the lentils.
Stir well.
3. Pre?Cook Filling (Optional but recommended if using dried lentils):
If using dried lentils, do this step so they soften properly:
Press Cancel, then Pressure Cook (or Manual).
Cook 8 minutes, Quick Release.
If using canned or pre?cooked lentils, skip this step.
4. Stuff the Peppers:
Spoon the warm filling into each bell pepper.
Pack it in gently without squishing.
Place stuffed peppers upright in the Instant Pot on a trivet.
5. Add Water to the Pot:
Pour 1 cup broth or water into the bottom of the pot (this creates steam).
Do not pour it over the peppers.
6. Pressure Cook:
Secure the lid.
Set to Pressure Cook (Manual) ? 8–10 minutes
8 minutes = firmer peppers 
7. Serve the peppers with:
Brown rice
Whole?grain couscous
A side salad
Steamed veggies
10 minutes = softer peppers
Use Quick Release when done.",107,6,23,0,7,126,6,213,12,45,0,14,252,11,,,,,
Meatloaf,2,20-25,1 pound lean ground turkey or lean ground beef (90% or higher); 1 egg (or 2 Tbsp plain low-fat yogurt if no egg); 3/4 cup quick oats or whole-wheat breadcrumbs; 1/2 cup finely chopped onion (fresh or frozen); 1/2 cup grated carrot or 1/2 cup finely chopped bell pepper; 2 Tbsp tomato paste or 1/4 cup no-salt-added tomato sauce; 1 Tbsp low-sodium ketchup; 1 tsp garlic powder; 1 tsp onion powder; 1 tsp Italian herb blend; 1/4 tsp black pepper; 1 tsp Worcestershire sauce or low-sodium soy sauce; 1-2 tsp apple cider vinegar or lemon juice; 2 Tbsp no-salt-added tomato sauce; 1 tsp low-sodium ketchup; 1 tsp apple cider vinegar or lemon juice; pinch of black pepper,"Turn the oven to 375 degrees F. Line a baking sheet with foil or lightly oil a loaf pan. In a big bowl, add ground meat, egg (or yogurt), oats, onion, carrot/pepper, tomato paste/sauce, garlic powder, onion powder, Italian herbs, black pepper, and (optional) Worcestershire/low-soidum soy. Mix gently with a sppon or your hands until it just comes together. Don't mash hard. Place the mix on the pan and shape it into a loaf about 8 inches long. (If using a loaf pan, press it in evenly). Make the glaze by mixing tomato sauce, tomato (optional), vinegar/lemon, and a pinch of black pepper in a small bowl. Spread a thing layer on top of the loaf. Put the meatloaf in the oven. Bake 45-55 minutes, until the inside reaches 165 degrees F and juices run clear. If you don't have a thermometer, slice into the cetner and there should be no pink. Let the meatload rest 5-10 minutes so it holds together. Slice and serve with steamed veggies or a side of brown rice.",241,29,19,4,3,139,5,963,118,77,18,10,556,19,,,,,
